geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC
0,29.602906,-98.533757,44215,27.64,8.0,12288727,29.602853,-98.534419,44217,97.91,68.0,7250575,29.60309635988723,-98.53372623022965,60.00032682723104,2.6593169622980577
1,29.592942,-98.582153,44806,86.39,256.0,12288727,29.5928899,-98.5813858,44806,107.83,260.19,14793455,29.59239557779429,-98.58467322068068,4.189619269814106,10.482640309417452
2,29.592837,-98.582653,44809,88.7,256.0,12288727,29.5927591,-98.5823448,44809,111.04,260.19,14793455,29.59243161832374,-98.58452273209508,4.189846697865368,6.941068144929597
3,29.592052,-98.589488,45487,42.62,171.0,12288727,29.59196,-98.589271,45488,111.74,263.0,16753444,29.59193902795076,-98.58946742301426,91.99989298063528,0.6176331793922416
4,29.574071,-98.594112,46776,86.39,345.0,20026467,29.573833,-98.594053,46778,91.0,346.0,17827346,29.574502061737817,-98.59424480523798,0.9999840984366696,2.0620571855541647
5,29.575455,-98.594515,46782,100.22,347.0,20026467,29.575624,-98.594402,46782,35.71,254.0,17120468,29.57558707604125,-98.59455006033296,93.00005586873718,0.5398559288639334
6,29.578402,-98.595418,46794,99.07,346.0,20026467,29.578583,-98.595498,46791,89.85,348.0,13590492,29.579247796162687,-98.59566048255948,2.0000443577454217,3.019131966232877
7,29.5757596,-98.3202507,46568,12.87,245.71,2042528,29.575911,-98.320416,46570,34.55,168.0,3328255,29.57571365047798,-98.32036776758464,77.70991828031629,2.3307699921906715
8,29.5772196,-98.3224678,46694,20.92,171.05,2042528,29.577418,-98.321741,46693,93.31,238.0,14896951,29.577040634902485,-98.32243539175852,66.94964144346542,3.056554106396482
9,29.577053,-98.3227467,46697,40.23,171.05,2042528,29.577032,-98.322415,46696,93.31,236.0,14896951,29.57685812075907,-98.32271140997884,64.94983641538354,1.3344341355416454
10,29.572529,-98.3277806,46784,27.36,185.65,2042528,29.572341,-98.327867,46781,93.31,46.0,15141447,29.572401373456128,-98.32779511750262,139.64995674390502,0.372659252468501
11,29.515039,-98.694579,46528,48.38,115.0,19648510,29.514267,-98.694791,46525,120.0,23.4,15678008,29.51498095877006,-98.69443596873631,91.59989403463044,1.13751069122321
12,29.515039,-98.694579,46528,48.38,115.0,19648510,29.514543,-98.694654,46526,121.6,23.2,15678008,29.51498174662111,-98.69443791023755,91.79996049924068,1.1220701532025177
13,29.515039,-98.694579,46528,48.38,115.0,19648510,29.51482,-98.694519,46527,120.32,23.0,15678008,29.514982489765085,-98.69443974156732,92.00002942770716,0.585891319181715
14,29.356718,-98.513195,46594,55.29,270.0,6726669,29.356723,-98.51332,46592,54.14,269.0,19976742,29.35671799923252,-98.51364867999024,0.9999512676457598,2.1225274076089
15,29.356706,-98.517596,46695,50.68,269.0,6726669,29.356707,-98.517649,46694,50.68,268.0,19976742,29.356703388284107,-98.51776766299362,0.9999840984366696,0.8189804292285985
16,29.482894,-98.599866,46590,65.66,98.0,15140417,29.482976,-98.599608,46587,101.37,248.0,9988744,29.48289174430817,-98.5998475622944,149.999872369951,0.0989935312147366
17,29.486147,-98.589268,46641,85.24,67.0,15140417,29.486069,-98.589849,46642,109.44,69.0,13527107,29.48736067448641,-98.58598316344973,2.000290597617278,13.201096569610314
18,29.487802,-98.584476,46662,87.55,66.0,15140417,29.487648,-98.585339,46661,123.26,69.0,7826124,29.488776672814364,-98.58196098049244,3.000421187818809,10.24180646528812
19,29.488829,-98.581415,46674,101.37,71.0,15140417,29.488934,-98.581106,46672,105.98,73.0,13527107,29.489032124142103,-98.5807372811536,1.9998473440269449,1.2695708436053472
20,29.48904,-98.58057,46677,101.37,75.0,15140417,29.489129,-98.580196,46675,108.28,76.0,13527107,29.48915270805705,-98.5800867603164,0.9998199337015709,0.3628848804557547
21,29.489392,-98.571762,46707,101.37,91.0,15140417,29.489237,-98.571066,46704,66.81,86.0,1845305,29.48935255252928,-98.56916735448124,5.0003405795314375,8.93722611257658
22,29.489368,-98.570908,46710,99.07,91.0,15140417,29.489271,-98.57046,46707,70.27,86.0,1845305,29.4893431675306,-98.56927426583836,5.00022225501232,5.758023420026969
23,29.48934,-98.570056,46713,99.07,91.0,15140417,29.489276,-98.569811,46710,76.03,89.0,1845305,29.489306122120546,-98.56782749301048,2.0001264410697464,7.854276664685546
24,29.489315,-98.569182,46716,101.37,91.0,15140417,29.489273,-98.569109,46713,81.79,89.0,1845305,29.48929343828337,-98.56776337507743,2.0000279406765755,4.886439776299019
25,29.489315,-98.569182,46716,101.37,91.0,15140417,29.489267,-98.568369,46716,86.39,90.0,1845305,29.48926697926193,-98.56602389072386,1.0004108006859522,9.476951445004042
26,29.489287,-98.568291,46719,103.67,92.0,15140417,29.489267,-98.568369,46716,86.39,90.0,1845305,29.489266997976983,-98.5676330207882,1.9999622710535656,2.2171244916323007
27,29.489232,-98.56656,46725,99.07,92.0,15140417,29.489231,-98.566832,46722,89.85,91.0,1845305,29.48922173532637,-98.5662223239087,0.9998527688048398,1.1906643417696272
28,29.489345,-98.564029,46734,100.22,81.0,15140417,29.489373,-98.563579,46734,96.76,80.0,1845305,29.48970741565284,-98.56140003687511,1.0002138838039123,7.98184633829184
29,29.489496,-98.563145,46737,104.83,78.0,15140417,29.489529,-98.562764,46737,96.76,76.0,1845305,29.489783182743786,-98.56159276716032,2.000192105304789,4.353928208762773
30,29.4897,-98.562242,46740,108.28,74.0,15140417,29.489715,-98.562001,46740,89.85,73.0,1845305,29.490441999485626,-98.55926904214522,1.0001154108247687,9.967715624158553
31,29.491176,-98.558797,46752,114.04,56.0,15140417,29.491392,-98.558335,46755,100.22,54.0,1845305,29.492163284340048,-98.55711537527516,2.000224936614269,5.2421472895554855
32,29.491695,-98.557998,46755,115.19,53.0,15140417,29.491855,-98.557643,46758,101.37,52.0,1845305,29.49390698171689,-98.55462549522974,1.0001810605545416,12.774383171611914
33,29.492218,-98.557217,46758,112.89,53.0,15140417,29.492306,-98.55697,46761,97.91,52.0,1845305,29.49439079153061,-98.5539042319731,1.0001154108247687,12.803704468979651
34,29.500596,-98.549157,46797,115.19,29.0,15140417,29.500766,-98.548567,46797,122.11,346.0,17376861,29.50128771607245,-98.54871645625474,43.00028997529302,1.7576159331766796
35,29.59208,-98.589532,46708,43.77,171.0,1759682,29.591721,-98.59012,46705,92.8,82.2,18157732,29.591797174655927,-98.58948048562276,88.79970943997468,2.425658174316072
36,29.59208,-98.589532,46708,43.77,171.0,1759682,29.591784,-98.589966,46709,107.13,82.0,17453795,29.59184232847953,-98.58948871001138,88.9997854769761,1.5689408130232794
37,29.59208,-98.589532,46708,43.77,171.0,1759682,29.591758,-98.58986,46706,94.4,80.6,18157732,29.59181223774124,-98.589483229236,90.39983783192172,1.4107450610279435
38,29.591037,-98.598597,46728,104.83,172.0,13596959,29.590615,-98.598921,46725,62.2,84.0,8583688,29.59065032353481,-98.59853450533473,87.99983985828057,1.4865283636166684
39,29.584281,-98.597552,46753,116.35,170.0,13596959,29.583677,-98.597467,46750,97.91,168.0,10299200,29.582777684372324,-98.59724719109124,2.0000443577454217,3.747976666009613
40,29.583423,-98.597357,46755,116.35,167.0,13596959,29.582938,-98.597273,46753,101.37,165.0,10299200,29.581888396548965,-98.59694960557486,2.0000443577454217,4.278985199704478
41,29.582569,-98.597117,46758,115.19,165.0,13596959,29.582189,-98.59705,46756,102.52,164.0,10299200,29.579871885641182,-98.59628600634532,1.0000497567857611,9.386108839783132
42,29.575791,-98.594938,46782,115.19,164.0,13596959,29.575563,-98.594646,46784,46.08,254.0,17120468,29.575513034780208,-98.59484635381182,89.99985618759344,1.0021262297073024
43,29.590802,-98.294921,46746,112.89,239.0,18057032,29.590714,-98.29494,46744,110.59,240.0,16065199,29.588796711537984,-98.29875874290542,1.0000169281502114,13.813860871525154
44,29.589075,-98.298303,46758,115.19,239.0,18057032,29.589037,-98.298225,46756,108.28,240.0,16065199,29.58710285723671,-98.3020772466748,0.9999512676457598,13.314271528813244
45,29.588636,-98.299172,46761,116.35,239.0,18057032,29.588618,-98.299056,46759,110.59,240.0,16065199,29.58668737508857,-98.30290122453978,0.9999512676457598,13.02434305536998
46,29.588189,-98.300041,46764,117.5,238.0,18057032,29.588078,-98.300249,46764,107.13,237.0,14867363,29.58802442706083,-98.30034386541752,0.9998856028295864,0.3677056216632094
47,29.588189,-98.300041,46764,117.5,238.0,18057032,29.58819,-98.299889,46762,111.74,239.0,16065199,29.586147747908125,-98.30379737970291,0.999918435776646,13.12950837788335
48,29.587702,-98.300885,46767,116.35,234.0,18057032,29.587722,-98.300703,46765,112.89,236.0,16065199,29.58649061656371,-98.30280230163896,1.999913017422011,7.091853536251913
49,29.587169,-98.301691,46770,116.35,231.0,18057032,29.58721,-98.301491,46768,114.04,232.0,16065199,29.584472592921223,-98.3055198954552,0.9998856028295864,14.739916673341694
50,29.381174,-98.465929,46623,109.44,316.0,3013765,29.381312,-98.46597,46622,97.91,315.0,7462621,29.38415478357805,-98.46923255205805,0.9999840984366696,15.146279867667417
51,29.381174,-98.465929,46623,109.44,316.0,3013765,29.381808,-98.466526,46625,88.7,315.0,7462621,29.38449127241593,-98.46960549477714,0.9997214219224833,16.856109758197928
52,29.394899,-98.477987,46698,74.88,300.0,3013765,29.39454,-98.477919,46701,125.56,338.0,14301629,29.394963607151887,-98.47811543854507,37.999968693961534,0.6912218414674568
53,29.440287,-98.485947,44824,89.85,255.0,16501743,29.4400489,-98.4865404,44825,74.03,54.06,8411140,29.44020694683173,-98.48629006056773,159.06029072511848,1.3801916402764849
54,29.439277,-98.488041,44833,96.76,235.0,16501743,29.439434,-98.488045,44835,108.28,232.0,14124733,29.437897591366003,-98.49030302487348,3.000005205155318,9.225706009715587
55,29.438857,-98.488739,44836,99.07,236.0,16501743,29.438941,-98.488811,44838,110.59,234.0,14124733,29.43717751739591,-98.49159800116448,1.9999622710535656,10.861558499275205
56,29.436432,-98.49292,44854,93.31,239.0,16501743,29.436588,-98.492817,44853,109.44,237.0,14124733,29.435222215705146,-98.49523181366872,2.0000443577454217,9.17615875390164
57,29.659484,-98.450947,46617,56.44,172.0,17077876,29.659723,-98.45092,46614,62.2,176.0,15952474,29.65891506035121,-98.45085498563338,3.999991999717186,4.062511971216061
58,29.658998,-98.450856,46620,67.96,170.0,17077876,29.659218,-98.450863,46617,67.96,172.0,15952474,29.65830398567898,-98.4507151776928,1.999995106134584,4.138621123178107
59,29.657947,-98.450618,46626,70.27,166.0,17077876,29.658195,-98.450655,46623,70.27,167.0,15952474,29.65658717748287,-98.45022785145372,1.0000169281502114,7.960912311553636
60,29.652946,-98.44946,46656,89.85,181.0,17077876,29.652621,-98.449461,46657,92.16,185.0,15952474,29.65255241492144,-98.44946790532214,4.000000213411453,0.2981158185479068
61,29.652216,-98.44957,46659,100.22,191.0,17077876,29.651912,-98.449616,46659,96.76,195.0,15952474,29.65165217021576,-98.44969611183018,4.000024854393402,1.109743211403803
62,29.646708,-98.451744,46680,115.19,198.0,17077876,29.646933,-98.451631,46680,101.37,199.0,15952474,29.645639629949745,-98.45214341755724,0.9999512676457598,3.893466042893987
63,29.645876,-98.452072,46683,116.35,199.0,17077876,29.645438,-98.452236,46686,107.13,200.0,15952474,29.645016369510223,-98.4524125731497,1.0000825843441543,1.672316632214217
64,29.645044,-98.452419,46686,117.5,200.0,17077876,29.644662,-98.452574,46689,111.74,201.0,15952474,29.64444462473387,-98.4526700088364,1.0000825843441543,0.8320672103236741
65,29.644212,-98.452793,46689,118.65,201.0,17077876,29.643864,-98.452946,46692,115.19,202.0,15952474,29.643833725392003,-98.4529600730322,1.0000825843441543,0.1131956892631248
66,29.632737,-98.458839,46731,125.56,205.0,17077876,29.632017,-98.459361,46733,81.79,202.0,9900668,29.630122350396583,-98.46024164429514,2.9997424495681853,9.177077236659578
67,29.631888,-98.459299,46734,124.41,205.0,17077876,29.631735,-98.459378,46737,117.5,206.0,15952474,29.631610072775672,-98.4594480982868,1.0000497567857611,0.4725067749577818
68,29.630218,-98.460202,46740,122.11,205.0,17077876,29.630185,-98.46029,46743,92.16,203.0,9900668,29.628724283422795,-98.46100330297058,1.9999622710535656,5.390879003322301
69,29.442766,-98.51465,46150,88.7,155.0,13222137,29.443069,-98.514728,46152,108.28,160.0,1101854,29.442352108538987,-98.5144283768547,5.000038189097573,2.0563413914886137
70,29.442184,-98.514256,46153,89.85,146.0,13222137,29.442575,-98.514458,46154,109.44,152.0,1101854,29.441960009410767,-98.51408251113467,6.000101606106003,1.2018303388491955
71,29.441668,-98.513758,46156,89.85,135.0,13222137,29.44191,-98.513912,46157,108.28,139.0,1101854,29.441084630064893,-98.51308812516211,4.000074135902574,3.673336200097236
72,29.439748,-98.507089,46183,87.55,109.0,13222137,29.439712,-98.506904,46181,108.28,113.0,1101854,29.43960885251097,-98.50662497052552,3.999909861847821,0.977056721131231
73,29.436268,-98.504256,46312,8.06,161.0,13222137,29.43632,-98.504285,46314,10.36,158.0,11952614,29.43619686194785,-98.50422787427252,2.99998330973459,3.7268626129811726
74,29.434816,-98.503422,46372,13.82,149.0,13222137,29.434968,-98.503539,46373,19.58,148.0,11952614,29.434527881149457,-98.50322322213846,0.9999512676457598,9.71847394273034
75,29.429262,-98.50084,46420,73.72,182.0,13222137,29.429433,-98.500722,46422,104.83,187.0,3562343,29.428331259039226,-98.50087731719154,4.999939579577275,4.22558168361117
76,29.425599,-98.501385,46438,78.33,186.0,13222137,29.426164,-98.501237,46440,97.91,187.0,9736087,29.422231512282814,-98.50179134638486,0.999918435776646,16.148512364802144
77,29.414463,-98.504905,46552,27.64,137.0,13222137,29.4147112,-98.5042495,46554,96.56,221.59,6001132,29.41427030335198,-98.50469871583869,84.58967829644592,2.441604922618731
78,29.683725,-98.631527,46425,81.79,180.0,2740235,29.683921,-98.631534,46427,77.18,179.0,17309389,29.68357259444492,-98.631527,0.9999840984366696,0.7435797189397532
