geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC
0,29.648789,-98.622526,55660,29.95,245.0,19733853,29.64809,-98.62233,55662,130.17,331.0,16426683,29.648708548416625,-98.62272451994264,85.99990314872466,2.1706454057372992
1,29.505653,-98.58613,54281,21.88,8.0,3634375,29.505471,-98.585253,54284,55.29,312.0,16236029,29.506101483614263,-98.58605757666471,56.000432183753176,6.81957496921768
2,29.505783,-98.586047,54284,19.58,33.0,3634375,29.505471,-98.585253,54284,55.29,312.0,16236029,29.505978741354458,-98.58590094077378,81.00039127942793,4.76378640348123
3,29.488703,-98.586323,54347,24.19,69.0,210337,29.489301,-98.586274,54349,40.32,158.0,7709140,29.488797465949204,-98.58604028136465,88.99997572794715,4.367722595356306
4,29.488742,-98.586191,54350,13.82,73.0,210337,29.489301,-98.586274,54349,40.32,158.0,7709140,29.488783798048544,-98.58603393729427,85.0000404182774,4.147167835527061
5,29.488742,-98.586191,54350,13.82,73.0,210337,29.489083,-98.586185,54352,26.49,159.0,7709140,29.488779245059632,-98.5860510459023,86.00000021504641,3.695423148037948
6,29.59088,-98.2951,54424,85.24,237.0,11347266,29.590789,-98.294928,54421,79.48,240.0,1158824,29.589281557916912,-98.29793046760685,2.9999176225144364,13.788354822296265
7,29.589502,-98.297725,54436,89.85,235.0,11347266,29.589327,-98.297772,54436,74.88,239.0,1158824,29.58844165984131,-98.29946639367252,4.000024854393402,8.238264879033542
8,29.58912,-98.298367,54439,89.85,236.0,11347266,29.589039,-98.298343,54439,77.18,240.0,1158824,29.58847401037608,-98.29946833229975,3.999991999717186,5.148529867976708
9,29.588776,-98.298977,54442,81.79,237.0,11347266,29.588741,-98.298931,54442,79.48,239.0,1158824,29.587986276695407,-98.30037541086764,1.9999786886614328,7.099664288795208
10,29.588458,-98.299553,54445,77.18,238.0,11347266,29.58843,-98.299535,54445,81.79,239.0,1158824,29.58748444690369,-98.30134461265382,0.9999840984366696,8.99053818215563
11,29.58815,-98.300122,54448,77.18,236.0,11347266,29.588105,-98.300157,54448,84.09,238.0,1158824,29.587796958333527,-98.30072389019732,2.0000115234728426,2.7686266772184447
12,29.583089,-98.307578,54490,87.55,232.0,11347266,29.583106,-98.307568,54487,91.0,231.0,1158824,29.58281600715745,-98.30797979029488,1.0000169281502114,2.0268876042878983
13,29.582677,-98.308218,54493,94.46,235.0,11347266,29.58267,-98.308231,54490,97.91,234.0,1158824,29.582644725852383,-98.30827100124836,0.9999840984366696,0.1758322865877642
14,29.58127,-98.311236,54505,97.91,248.0,11347266,29.581286,-98.311201,54502,96.76,247.0,1158824,29.58120914893036,-98.31140918485984,1.0000169281502114,0.6649434325351438
15,29.579435,-98.316469,54526,89.85,248.0,11347266,29.579365,-98.316681,54523,97.91,247.0,1158824,29.579271771901507,-98.31693354409352,0.9998856028295864,0.976636489840158
16,29.578919,-98.31793,54532,92.16,248.0,11347266,29.578806,-98.318267,54529,99.07,247.0,1158824,29.57869362095823,-98.31857141962412,0.9998199337015709,1.163471603792011
17,29.571327,-98.329429,54586,100.22,225.0,11347266,29.571019,-98.329925,54584,92.16,224.0,1158824,29.567421735617845,-98.33391888069632,0.9997542602604989,21.70583708042259
18,29.566766,-98.33472,54610,107.13,225.0,11347266,29.566773,-98.33491,54613,87.55,221.0,1158824,29.56545512705099,-98.33622710005176,3.999909861847821,6.922899958146482
19,29.579776,-98.642529,54921,95.61,39.0,1076730,29.579818,-98.64208,54923,78.33,28.0,20364123,29.581099893581232,-98.64129624790908,11.00022323888055,7.1243689291010055
20,29.580328,-98.64201,54923,94.46,39.0,1076730,29.58035,-98.641767,54926,79.48,27.0,20364123,29.5809944809046,-98.64138940395829,12.000118699957628,3.630241271400274
21,29.580872,-98.641496,54927,92.16,39.0,1076730,29.580856,-98.641432,54929,77.18,30.0,20364123,29.58115120020774,-98.6412360216666,9.000033181367945,1.5587212578152083
22,29.581382,-98.641017,54929,85.24,39.0,1076730,29.58134,-98.64102,54932,79.48,38.0,20364123,29.58244188169665,-98.64003007201129,0.9999840984366696,6.397499933267738
23,29.591113,-98.598349,54400,50.68,260.0,9155390,29.591471,-98.598867,54403,49.53,169.0,1448412,29.59104807058443,-98.5987724602357,90.9997440530222,2.9586418251220525
24,29.590071,-98.606619,54445,72.57,260.0,9155390,29.590095,-98.605923,54446,115.19,262.0,200759,29.58977007097507,-98.60858151680418,1.9996503109055737,8.127722037929862
25,29.58998,-98.60729,54448,78.33,261.0,9155390,29.590022,-98.606541,54449,104.83,262.0,200759,29.58954008047426,-98.6104838234436,0.999622900435785,13.245456743780323
26,29.589426,-98.611862,54466,96.76,261.0,9155390,29.589378,-98.611901,54467,108.28,262.0,200759,29.5890422244936,-98.6146482340326,1.0000169281502114,8.935003705854669
27,29.589426,-98.611862,54466,96.76,261.0,9155390,29.589485,-98.61097,54464,110.59,262.0,200759,29.58898180664236,-98.61508683098003,0.999557214050442,11.76739465728062
