geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC
0,29.510362,-98.397298,58132,32.25,271.0,3279121,29.509798,-98.39771,58130,78.33,9.0,19282878,29.51036668595925,-98.39760650181675,98.00020302909364,2.933556411839136
1,29.515674,-98.440419,60299,111.74,97.0,4724309,29.515536,-98.439919,60298,103.67,94.0,11237684,29.515424111338973,-98.43808050406064,3.0002460442469463,6.204624610967976
2,29.515611,-98.43947,60302,110.59,91.0,4724309,29.515508,-98.43902,60301,104.83,90.0,11237684,29.51550785016284,-98.43269058458397,1.0002138838039123,21.07342309459899
3,29.515614,-98.438509,60305,111.74,87.0,4724309,29.515539,-98.4381,60304,107.13,85.0,11237684,29.51577250225933,-98.43503256222714,2.0002085210269542,10.031356495432838
4,29.515686,-98.437538,60308,112.89,83.0,4724309,29.515628,-98.437185,60307,105.98,82.0,11237684,29.516385328714712,-98.4309914772864,1.0001810605545416,20.390372380595643
5,29.515975,-98.429754,60332,111.74,90.0,4724309,29.515904,-98.42912,60334,100.22,89.0,11237684,29.515974894641367,-98.4244473448608,1.000312347090141,16.275333261245464
6,29.515966,-98.428802,60335,109.44,90.0,4724309,29.515907,-98.428236,60337,103.67,89.0,11237684,29.515965925943696,-98.4243529543816,1.000279527071424,13.074948632660494
7,29.515992,-98.423038,60353,111.74,91.0,4724309,29.515936,-98.422499,60355,103.67,90.0,11237684,29.515935962810808,-98.41935219487686,1.000279527071424,10.59429335462737
8,29.515992,-98.423038,60353,111.74,91.0,4724309,29.515938,-98.423413,60352,109.44,90.0,11237684,29.51593794222056,-98.41948227521434,0.9998199337015709,11.108110402142405
9,29.515969,-98.422035,60356,118.65,91.0,4724309,29.515934,-98.421626,60358,99.07,89.0,11237684,29.51594838854865,-98.42067851915036,2.0002085210269542,3.338481307593586
