geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC
0,29.404537,-98.632301,3794,41.47,36.0,17133602,29.404428,-98.632378,3796,43.77,35.0,13459950,29.40488795989605,-98.63200830516668,0.9999512676457598,4.181604753609947
1,29.404321,-98.62918,3860,24.19,173.0,17133602,29.404405,-98.6292,3862,26.49,172.0,13459950,29.404004594869363,-98.6291354056722,0.9999840984366696,5.258945490311583
2,29.402375,-98.624997,3959,81.79,94.0,17133602,29.402377,-98.625202,3961,82.94,93.0,13459950,29.402345619153564,-98.62451472693238,0.9998856028295864,2.065286832638815
3,29.402988,-98.620778,3977,86.39,60.0,17133602,29.402895,-98.62094,3979,88.7,59.0,13459950,29.403189364184,-98.62037765628462,0.999918435776646,1.8673365102850152
4,29.4039,-98.618837,3986,84.09,69.0,17133602,29.403853,-98.618956,3988,85.24,67.0,13459950,29.403928306052773,-98.61875235636109,1.999945853311164,0.3764846741893206
5,29.404523,-98.616567,3995,96.76,74.0,17133602,29.404484,-98.616703,3997,95.61,73.0,13459950,29.40456494791644,-98.6163990771513,0.999918435776646,0.6305716009649314
6,29.404891,-98.614865,4001,104.83,76.0,17133602,29.404842,-98.615061,4003,100.22,75.0,13459950,29.404934491429984,-98.61466476939968,0.999918435776646,0.6876061936495254
7,29.397316,-98.526913,4277,116.35,111.0,17133602,29.397363,-98.527043,4279,118.65,112.0,13459950,29.397292400597514,-98.52684243539322,1.0000497567857611,0.2268537842367734
8,29.396185,-98.518457,4304,103.67,95.0,17133602,29.396213,-98.518738,4306,102.52,96.0,13459950,29.396173737109283,-98.51830924103044,1.0001482362284388,0.4999252796969427
9,29.397088,-98.510747,4337,74.88,13.0,17133602,29.396975,-98.510791,4339,80.64,18.0,13459950,29.397105209434443,-98.51074243969816,5.000018467348743,0.0941450998368435
10,29.397673,-98.510742,4340,78.33,351.0,17133602,29.397573,-98.510739,4342,79.48,355.0,13459950,29.397759537631472,-98.5107577319734,4.000000213411453,0.4463953910745662
11,29.411867,-98.507352,4409,79.48,36.0,17133602,29.411725,-98.507465,4411,82.94,35.0,13459950,29.411904740092503,-98.5073205232308,0.9999512676457598,0.2346197831623036
12,29.413595,-98.504976,4424,59.9,61.0,17133602,29.413507,-98.505171,4426,58.75,62.0,13459950,29.41365185269714,-98.50485825754956,1.0000825843441543,0.7842587277384481
13,29.415505,-98.505136,4517,43.77,5.0,17133602,29.415519,-98.505163,4516,46.08,6.0,13459950,29.41692364884016,-98.5049935133199,1.0000169281502114,12.231360267150576
14,29.415868,-98.505108,4520,48.38,3.0,17133602,29.415899,-98.505116,4519,51.83,6.0,13459950,29.41606207066481,-98.50509632385383,3.000005205155318,1.2624496101307454
15,29.418544,-98.504758,4556,51.83,6.0,17133602,29.418487,-98.504775,4555,52.99,7.0,13459950,29.41898568498672,-98.50470470466055,1.0000169281502114,3.4194088707227186
16,29.425414,-98.503835,4604,46.08,4.0,17133602,29.425411,-98.503826,4603,50.68,3.0,13459950,29.4258704265826,-98.50379835620338,1.0000169281502114,3.622357210545702
17,29.425927,-98.503812,4655,13.82,5.0,17133602,29.425961,-98.503804,4654,10.36,4.0,13459950,29.42618838491121,-98.50378574455036,1.0000169281502114,7.576266672960081
18,29.42607,-98.50381,4658,19.58,354.0,17133602,29.426097,-98.503813,4657,19.58,350.0,13459950,29.42610015680138,-98.50381363908566,3.999991999717186,0.0653371992421334
19,29.426453,-98.50505,4679,14.97,345.0,17133602,29.426482,-98.50506,4678,17.27,5.0,13459950,29.426484642763683,-98.5050597345368,20.00000348208943,0.0612983580315725
20,29.463139,-98.475932,5078,110.59,229.0,15564869,29.462901,-98.476269,5081,130.17,56.0,14016378,29.46296009093225,-98.47616838139471,172.99983468092665,0.3250758354060294
21,29.462643,-98.476712,5081,110.59,233.0,15564869,29.462371,-98.477216,5078,129.02,61.0,14016378,29.462534237212783,-98.4768777708581,171.99975350955242,0.6542258958990503
