geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC,min_distance_journey1,min_distance_journey2,time_journey1,time_journey2,collision_time,crash_angle
41.0,32.441771,-97.085638,24834.0,117.5,65.0,449989.0,32.442006,-97.085191,24843.0,20.73,117.0,866003.0,32.44197514565358,-97.08511924681504,51.9997604458542,1.3138188688103982,29.994010631422185,7.557085433269811,07:28:51,06:54:03,07:11:27,52.0
42.0,32.441771,-97.085638,24834.0,117.5,65.0,449989.0,32.441992,-97.085103,24842.0,24.19,97.0,2344580.0,32.4419898196633,-97.08508195848628,31.999713060732333,0.2966613785304125,30.450654090537974,1.9893910063371825,07:28:51,06:54:02,07:11:27,32.0
56.0,32.441555,-97.086294,24327.0,100.22,66.0,1548037.0,32.441643,-97.086027,24329.0,102.52,65.0,446330.0,32.44191558541759,-97.08533433414748,1.0001482362284388,2.521571479924868,13.480767342956742,14.972675277365768,06:45:30,06:45:32,06:45:31,1.0
57.0,32.44186,-97.085462,24330.0,102.52,66.0,1548037.0,32.441963,-97.085185,24332.0,104.83,65.0,446330.0,32.44198690657757,-97.08512425143066,1.0001482362284388,0.2162749635737053,34.69423750283584,6.290053564001839,06:45:30,06:45:32,06:45:31,1.0
106.0,32.442006,-97.085162,24082.0,24.19,106.0,22517.0,32.441846,-97.085375,24077.0,99.07,65.0,996881.0,32.441976993192434,-97.08504213467172,40.99988561274196,1.2539557632018308,11.701619751848083,34.465682986617296,06:41:22,06:41:17,06:41:20,41.0
135.0,32.441919,-97.085386,22821.0,49.53,65.0,88047.0,32.442049,-97.085135,22825.0,12.67,130.0,1986075.0,32.44202892993344,-97.08510665826994,64.99986482152909,0.9865979440498372,3.69904581735542,3.471891913533426,06:20:24,06:20:25,06:20:24,65.0
136.0,32.442031,-97.085146,22824.0,21.88,45.0,88047.0,32.442049,-97.085135,22825.0,12.67,130.0,1986075.0,32.44204502294637,-97.08512938384376,84.99999383142014,0.1955027766018852,2.205155788743718,0.6879849192793708,06:20:24,06:20:25,06:20:24,85.0
