geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC,min_distance_journey1,min_distance_journey2,time_journey1,time_journey2,collision_time,crash_angle
11.0,32.442488,-97.085394,20433.0,39.16,158.0,1527089.0,32.442456,-97.084557,20440.0,117.5,245.0,1295734.0,32.44218390334911,-97.08524841621563,86.99955111646945,2.196122293056547,9.096445263070434,26.427784582899115,05:40:39,05:40:43,05:40:41,87.0
12.0,32.442299,-97.08531,20436.0,26.49,165.0,1527089.0,32.442456,-97.084557,20440.0,117.5,245.0,1295734.0,32.44217514344827,-97.08527067549149,79.99959551537916,1.933062841404524,7.719063493154411,24.128588635988333,05:40:39,05:40:43,05:40:41,80.0
18.0,32.441785,-97.085651,19266.0,109.44,65.0,1955060.0,32.441691,-97.085924,19265.0,109.44,66.0,1412069.0,32.44197473467578,-97.08516886663595,1.0001482362284388,1.644170797551559,40.98312757763391,13.841402754028392,05:21:09,05:21:08,05:21:09,1.0
19.0,32.44168,-97.085804,18929.0,105.98,66.0,923122.0,32.442192,-97.085145,18934.0,29.95,160.0,1395969.0,32.44196448237533,-97.08504687679256,93.99964655553651,2.645278343939819,10.631473507863308,25.846935700247577,05:15:32,05:15:37,05:15:34,94.0
