geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC,min_distance_journey1,min_distance_journey2,time_journey1,time_journey2,collision_time,crash_angle
92.0,32.442003,-97.085083,25646.0,20.73,94.0,1144772.0,32.44199,-97.085106,25653.0,107.13,66.0,1416589.0,32.442002408462784,-97.08507297627564,27.99998814459698,0.1141414792054814,0.9429360556647778,3.3922652633590777,07:07:26,07:07:33,07:07:29,28.0
177.0,32.441614,-97.086223,28287.0,105.98,66.0,1931936.0,32.441632,-97.086139,28286.0,108.28,65.0,999576.0,32.44193201532962,-97.08537663148483,1.0000497567857611,2.6276815771456774,3.2078602439719983,12.663484942791412,07:51:30,07:51:29,07:51:30,1.0
184.0,32.442316,-97.084968,27906.0,124.41,245.0,1907088.0,32.442282,-97.085317,27912.0,18.43,169.0,1269679.0,32.44218724539056,-97.08529517548712,75.99981314268163,0.9814773416241326,33.87646398842682,10.73343507645978,07:45:06,07:45:12,07:45:09,76.0
185.0,32.442129,-97.085221,25651.0,16.12,156.0,505233.0,32.441662,-97.085976,25650.0,105.98,66.0,1416589.0,32.44197601087441,-97.08514028866048,89.99959491883885,2.9198534750917644,8.91834696761727,3.573959491661989,07:07:46,07:07:33,07:07:40,90.0
