geoid,lat1,lon1,time1,speed1,heading1,category1,lat2,lon2,time2,speed2,heading2,category2,lat3,lon3,ang3,TTC,min_distance_journey1,min_distance_journey2,time_journey1,time_journey2,collision_time,crash_angle
152.0,32.442246,-97.085263,49984.0,17.27,155.0,548103.0,32.442402,-97.084791,49990.0,107.13,246.0,1666869.0,32.44222831919759,-97.08525323062788,90.99974691824734,0.4513564204525121,2.1692580731668416,42.75368687286084,13:53:04,13:53:13,13:53:08,91.0
157.0,32.442065,-97.085193,47968.0,20.73,142.0,1362163.0,32.441786,-97.085698,47960.0,71.42,66.0,2348479.0,32.44199878307422,-97.0851316986852,75.99972870136733,1.6212159977211429,9.343761514785369,3.5861217980395925,13:19:28,13:19:26,13:19:27,76.0
158.0,32.442065,-97.085193,47968.0,20.73,142.0,1362163.0,32.441895,-97.085356,47960.0,110.59,65.0,428770.0,32.44198741239107,-97.08512117211608,76.9999126391046,0.792482306345027,10.948259498242686,24.314645534790213,13:19:28,13:19:20,13:19:24,77.0
159.0,32.442065,-97.085193,47968.0,20.73,142.0,1362163.0,32.44193,-97.085325,47963.0,43.77,66.0,2348479.0,32.442001638433155,-97.0851343420742,75.99992888037669,1.5513070961902489,8.940846600363184,3.2282846200481496,13:19:28,13:19:26,13:19:27,76.0
160.0,32.442065,-97.085193,47968.0,20.73,142.0,1362163.0,32.442013,-97.085166,47966.0,18.43,51.0,2348479.0,32.44202184870562,-97.08515305202695,91.00001453028656,0.3054596663513037,6.089008672811419,1.563482371938567,13:19:28,13:19:26,13:19:27,91.0
161.0,32.442035,-97.085093,49471.0,23.04,99.0,911526.0,32.441852,-97.085475,49476.0,97.91,66.0,969761.0,32.44202464417133,-97.08501552483484,32.99979464417709,1.1524198584962606,7.360992808742207,7.237981061743079,13:44:31,13:44:38,13:44:34,33.0
162.0,32.442035,-97.085093,49471.0,23.04,99.0,911526.0,32.441948,-97.085155,49462.0,103.67,65.0,199093.0,32.44201912808288,-97.08497425741892,33.99996644946286,0.6506733164569458,11.281851895347854,18.714516215363112,13:44:31,13:44:22,13:44:27,34.0
164.0,32.442288,-97.08529,47611.0,12.67,162.0,2163157.0,32.442382,-97.084728,47618.0,101.37,246.0,2083367.0,32.44218563910247,-97.08525059039916,83.99969888064989,1.9088845032653807,6.690094530301062,29.78418003559259,13:13:37,13:13:41,13:13:39,84.0
333.0,32.4422,-97.085161,49245.0,13.82,330.0,261002.0,32.442408,-97.08469,49253.0,97.91,245.0,945831.0,32.442217841887604,-97.0851732059695,85.0002526472518,0.5958497053762803,2.290842093975305,31.619465915324707,13:40:45,13:40:56,13:40:50,85.0
